Epoch,MAE
1,0.21554438769817352
2,0.19785182178020477
3,0.19522839784622192
4,0.19462668895721436
5,0.19326700270175934
6,0.19356046617031097
7,0.19374223053455353
8,0.1930716633796692
9,0.1930854171514511
10,0.19276924431324005
11,0.1952052265405655
12,0.1935918927192688
13,0.19020569324493408
14,0.1914568543434143
15,0.19238102436065674
16,0.1888628602027893
17,0.18671783804893494
18,0.18469806015491486
19,0.17985780537128448
20,0.1788874715566635
21,0.18786080181598663
22,0.16904810070991516
23,0.16492758691310883
24,0.16417695581912994
25,0.15821890532970428
26,0.15053339302539825
27,0.15909558534622192
28,0.1502275913953781
29,0.14546212553977966
30,0.1469564288854599
31,0.1430434137582779
32,0.14084947109222412
33,0.1430603265762329
34,0.14081087708473206
35,0.13657405972480774
36,0.13635317981243134
37,0.13268347084522247
38,0.13868555426597595
39,0.13334986567497253
40,0.1328071802854538
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
