Epoch,MAE
1,0.2924277186393738
2,0.19856330752372742
3,0.1961974799633026
4,0.1966390311717987
5,0.19733880460262299
6,0.19466866552829742
7,0.19584155082702637
8,0.19611114263534546
9,0.1943272054195404
10,0.1956859976053238
11,0.19481424987316132
12,0.192457377910614
13,0.19428007304668427
14,0.1946745663881302
15,0.19259479641914368
16,0.19167925417423248
17,0.19045229256153107
18,0.19085125625133514
19,0.19250576198101044
20,0.18957515060901642
21,0.18794786930084229
22,0.18825584650039673
23,0.18752284348011017
24,200790654976.0
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
